# Content: pats_and_apts
# Copyright: 2022, Ecole Polytechnique Federale de Lausanne.
# License: Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
# Version: Release 4 (07/30/2022)
organism	enzyme_type	uniprot_ac	uniprot_id	uniprot_description	main_gene_name	enzyme_family	enzyme_number	nber_hits	nber_substrates	list_isoform_substrates	list_sites_by_isoform_substrates
Arabidopsis thaliana	PAT	Q9C533	ZDHC1_ARATH	Probable protein S-acyltransferase 22, EC 2.3.1.225 (Probable palmitoyltransferase At1g69420) (Zinc finger DHHC domain-containing protein At1g69420)	PAT22	ZDHHC	22	0	0		
Arabidopsis thaliana	PAT	Q9M115	ZDH16_ARATH	Protein S-acyltransferase 18, EC 2.3.1.225 (Probable palmitoyltransferase At4g01730) (Zinc finger DHHC domain-containing protein At4g01730)	PAT18	ZDHHC	18	0	0		
Arabidopsis thaliana	PAT	Q7XA86	ZDH11_ARATH	Protein S-acyltransferase 10, EC 2.3.1.225 (Probable palmitoyltransferase At3g51390) (Zinc finger DHHC domain-containing protein At3g51390)	PAT10	ZDHHC	10	1	1	Q7XA86	192
Arabidopsis thaliana	PAT	Q8L5Y5	ZDH17_ARATH	Probable protein S-acyltransferase 19, EC 2.3.1.225 (Probable palmitoyltransferase At4g15080) (Zinc finger DHHC domain-containing protein At4g15080)	PAT19	ZDHHC	19	0	0		
Rattus norvegicus	PAT	E9PTT0	ZDH17_RAT	Palmitoyltransferase ZDHHC17, EC 2.3.1.225 (Acyltransferase ZDHHC17, EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 17)	Zdhhc17	ZDHHC	17	4	4	P60881;Q63796	85,88,90,92;436
Xenopus laevis	PAT	Q5FWL7	ZDH15_XENLA	Palmitoyltransferase ZDHHC15, EC 2.3.1.225 (Acyltransferase ZDHHC15, EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 15 homolog, DHHC-15)	zdhhc15	ZDHHC	15	0	0		
Canis familiaris	PAT	Q2THW9	ZDHC5_CANLF	Palmitoyltransferase ZDHHC5, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 5, DHHC-5)	ZDHHC5	ZDHHC	5	0	0		
Arabidopsis thaliana	PAT	Q9LIE4	ZDHC8_ARATH	Probable protein S-acyltransferase 20, EC 2.3.1.225 (Probable palmitoyltransferase At3g22180) (Zinc finger DHHC domain-containing protein At3g22180)	PAT20	ZDHHC	20	0	0		
Arabidopsis thaliana	PAT	Q0WQK2	ZDHC9_ARATH	Probable protein S-acyltransferase 7, EC 2.3.1.225 (Probable palmitoyltransferase At3g26935) (Zinc finger DHHC domain-containing protein At3g26935)	PAT07	ZDHHC	7	0	0		
Arabidopsis thaliana	PAT	Q93VV0	ZDHC6_ARATH	Probable protein S-acyltransferase 16, EC 2.3.1.225 (Probable palmitoyltransferase At3g09320) (Zinc finger DHHC domain-containing protein At3g09320)	PAT16	ZDHHC	16	0	0		
Arabidopsis thaliana	PAT	Q9LIH7	ZDHC7_ARATH	Protein S-acyltransferase 11, EC 2.3.1.225 (Probable palmitoyltransferase At3g18620) (Zinc finger DHHC domain-containing protein At3g18620)	PAT11	ZDHHC	11	0	0		
Bos taurus	PAT	Q58CU4	ZDH16_BOVIN	Palmitoyltransferase ZDHHC16, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 16, DHHC-16)	ZDHHC16	ZDHHC	16	0	0		
Bos taurus	PAT	Q2HJ95	ZDHC6_BOVIN	Palmitoyltransferase ZDHHC6, EC 2.3.1.225 (Stearoyltransferase ZDHHC6, EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 6, DHHC-6)	ZDHHC6	ZDHHC	6	0	0		
Bos taurus	PAT	Q0VC89	ZDH20_BOVIN	Palmitoyltransferase ZDHHC20, EC 2.3.1.225 (Acyltransferase ZDHHC20, EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 20)	ZDHHC20	ZDHHC	20	0	0		
Bos taurus	PAT	E1BLT8	ZDHC5_BOVIN	Palmitoyltransferase ZDHHC5, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 5, DHHC-5)	ZDHHC5	ZDHHC	5	0	0		
Arabidopsis thaliana	PAT	B3DN87	ZDH12_ARATH	Probable protein S-acyltransferase 1, EC 2.3.1.225 (Probable palmitoyltransferase At3g56920) (Zinc finger DHHC domain-containing protein At3g56920)	PAT01	ZDHHC	1	0	0		
Mus musculus	PAT	Q8BQQ1	ZDH14_MOUSE	Palmitoyltransferase ZDHHC14, EC 2.3.1.225 (DHHC domain-containing cysteine-rich protein 14, DHHC-14) (NEW1 domain-containing protein, NEW1CP) (Zinc finger DHHC domain-containing protein 14)	Zdhhc14	ZDHHC	14	3	3	Q8N4C7;Q60700	284,285,287,288,290,291;436
Rattus norvegicus	PAT	Q2TGI5	ZDH24_RAT	Probable palmitoyltransferase ZDHHC24, EC 2.3.1.225 (Membrane-associated zinc finger protein DHHC25) (Zinc finger DHHC domain-containing protein 24, DHHC-24)	Zdhhc24	ZDHHC	24	0	0		
Rattus norvegicus	PAT	Q2TGJ4	ZDH15_RAT	Palmitoyltransferase ZDHHC15, EC 2.3.1.225 (Acyltransferase ZDHHC15, EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 15, DHHC-15)	Zdhhc15	ZDHHC	15	2	1	P31016	3,5
Rattus norvegicus	PAT	Q6DGF5	ZDH12_RAT	Palmitoyltransferase ZDHHC12, EC 2.3.1.225 (DHHC domain-containing cysteine-rich protein 12, DHHC-12) (Zinc finger DHHC domain-containing protein 12)	Zdhhc12	ZDHHC	12	1	1		
Rattus norvegicus	PAT	Q2TGI8	ZDH22_RAT	Palmitoyltransferase ZDHHC22, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 22, DHHC-22, zDHHC22)	Zdhhc22	ZDHHC	22	0	0		
Rattus norvegicus	PAT	Q2TGJ1	ZDH18_RAT	Palmitoyltransferase ZDHHC18, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 18)	Zdhhc18	ZDHHC	18	0	0		
Bos taurus	PAT	A2VDT6	ZDH21_BOVIN	Palmitoyltransferase ZDHHC21, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 21)	ZDHHC21	ZDHHC	21	0	0		
Rattus norvegicus	PAT	Q5FVR1	ZDHC4_RAT	Palmitoyltransferase ZDHHC4, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 4, DHHC-4)	Zdhhc4	ZDHHC	4	0	0		
Arabidopsis thaliana	PAT	Q9M1K5	ZDH13_ARATH	Probable protein S-acyltransferase 4, EC 2.3.1.225 (Probable palmitoyltransferase At3g56930) (Zinc finger DHHC domain-containing protein At3g56930)	PAT04	ZDHHC	4	0	0		
