# Content: proteins
# Copyright: 2022, Ecole Polytechnique Federale de Lausanne.
# License: Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
# Version: Release 4 (07/30/2022)
uniprot_ac	uniprot_id	uniprot_description	organism	main_gene_name	gene_names	nber_palmitoyl_proteome_hits	nber_palmitoyl_proteome_sites	nber_palmitoyl_proteome_articles	nber_targeted_study_hits	nber_targeted_study_sites	nber_targeted_study_articles	nber_technique_categories	main_isoform_site_positions
P31946	1433B_HUMAN	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1, KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed ]	Homo sapiens	YWHAB	YWHAB	12	0	6	0	0	0	5	
P62258	1433E_HUMAN	14-3-3 protein epsilon, 14-3-3E	Homo sapiens	YWHAE	YWHAE	15	2	8	0	0	0	5	97,98
Q04917	1433F_HUMAN	14-3-3 protein eta (Protein AS1)	Homo sapiens	YWHAH	YWHA1,YWHAH	9	0	6	0	0	0	4	
P61981	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1, KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed ]	Homo sapiens	YWHAG	YWHAG	13	0	7	0	0	0	4	
P31947	1433S_HUMAN	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	Homo sapiens	SFN	HME1,SFN	7	0	4	0	0	0	3	
P27348	1433T_HUMAN	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	Homo sapiens	YWHAQ	YWHAQ	13	0	7	0	0	0	5	
P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1, KCIP-1)	Homo sapiens	YWHAZ	YWHAZ	15	1	9	0	0	0	5	94
P30443	1A01_HUMAN	HLA class I histocompatibility antigen, A-1 alpha chain (Human leukocyte antigen A*01) (HLA-A*01)	Homo sapiens	HLA-A	HLA,HLAA,HLA-A	7	0	4	0	0	0	4	
P01892	1A02_HUMAN	HLA class I histocompatibility antigen, A-2 alpha chain (Human leukocyte antigen A*02) (HLA-A*02)	Homo sapiens	HLA-A	HLAA,HLA-A	3	0	3	0	0	0	3	
P04439	HLAA_HUMAN	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A, HLA-A)	Homo sapiens	HLA-A	HLAA,HLA-A	3	0	3	0	0	0	3	
